,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Dalmuir - SECC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalscone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.46,0.22,0.39,5.07,4.81,2.59,NA,1.81,NA,NA,2.74,3.41,1.55,0,2.97,NA,NA,NA,44.86,NA,NA,NA,NA,NA,NA,0.69,1.51,1.74,4.93,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.65,13.555,13.35,10.16,47.88,41.065,67.395,121.515,17.44,NA,7.945,3.065,3.7,18.035,4.36,1.335,0.95,21.115,12.07,31.77,78.18,51.53,45.51,33.81,NA,NA,NA,36.61,3.26,1.565,14.96,87.06,48.71,148.895,94.29,40.78,24.79,34.355,25.28,139.305,114.785,66.89,139.77,106.675,NA,NA,112.51,NA,21.69,NA,9.8,17.09
Dunbar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,7.07,17.99,12.57,3.48,0.86,0.48,1.1,0,NA,0,0,0,0,3.23,NA,16.45,4.39,22.15,62.24,158.76,268.06,52.02,17.6,NA,NA,NA,74.62,165.61,NA,68.26,NA,28.43,33.3,14.27,9.3,NA,41.39,113.78,NA,123.25,NA,140.13,73.3,NA,NA,NA,161.18,44.04,28.56,NA,30.08
Dunblane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,2.075,0.765,NA,3.02,2.11,1.03,0.96,41.99,4.58,16.445,10448.3,58.055,139.92,125.08,40.54,27.84,51.97,24.11,NA,89.89,44.77,88.895,96.91,127.4,97.085,145.32,157.98,NA,159.305,193.455,51.59,42.12,173.495,205.28,NA,24.5,110.665,NA,NA,213.055,53.92,NA,NA,18.03,68.43
Dunfermline,0,0,0,NA,NA,NA,NA,NA,NA,0,0.81,25.37,1.19,0.535,0.1275,0.325,1.46,3.12,3.05,9.21,12.89,5.04,5.38,16.08,22.51,5.87,NA,25.1,19.62,32.83,NA,NA,41.99,28.46,23.9,3.18,19.19,8.67,18.86,13.505,13.09,9.345,6.115,5.57,3.59,5.67,NA,NA,5.21,1.405,6.82,1.93,4.81,1.48,5.32,7.85,34.96,89.32,126.67,147.02,72.135,76.995,48.785,23.445,61.18,117.145,139.73,591.24,166.31,64.18,81.145,47.025,62.1366666666667,66.71,108.955,78.84,75.89,161.463333333333,48.025,NA,111.52,115.516666666667,152.38,128.79,85.63,87.6066666666667,59.52,55.67,68.44,160.59
Dunnswood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.96,61.95,36.48,NA,71.67,NA,NA,2.97,19.71,14.89,14.7,3.45,1.61,4.47,8.3,NA,NA,NA,NA,0.56,2.18,3.48,9.21,NA,7.74,84.11,211.35,NA,61.9,81.24,NA,11.42,NA,NA,341.96,719.15,120.27,59.9,NA,NA,NA,38.21,141.92,54.35,68.6,77.87,36.77,NA,NA,11.96,NA,NA,NA,41.78,NA,NA,NA,115.3
Dunnswood - Carrickstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.288,8.76,0.865,NA,NA,1.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1,43.96,122.125,NA,NA,29.56,NA,28.605,18.08,57.275,13.91
Duns,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,2.085,2.155,0.725,0.715,0,0,0.18,0,0,NA,0,1.39,0.19,0,0,0.335,0.24,4.7,0.21,19.74,9.585,13.52,15.535,2.9,NA,NA,62.81,8.95,23.51,12.155,42.32,19.52,6.48,29.6,NA,13.48,85.755,73.885,94.07,25.205,34.84,NA,161.49,50.93,NA,NA,NA,17.43,27.06,3.36,18.27,37.46
East Calder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.32,22.84,NA,37.64,17.22,16.38,70.55,19.37,46.44,37.42,31.175,18.86,27.16,53,20.59,27.3,18.83,8.36,NA,0.605,1.59,1.53,0.965,8.26,4.615,4.75,4.435,15.72,18.485,76.385,42.39,34.79,52.41,22.25,18.2,89.675,NA,102.845,154.015,140.23,66.42,173.555,261.26,116.885,92.045,87.39,136.19,56.7833333333333,42.5966666666667,27.23,122.54,96.12,202.245,118.18,273.72,111.965,91.7166666666667,47.5433333333333,53.21,86.3033333333333,91.56
Ellon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,0.71,0.21,0.45,0,2.14,0.075,0,0.27,4.175,5.135,11.2,18.91,10.05,32.705,23.91,NA,32.22,NA,122.95,216.93,NA,53.895,25.23,121.33,NA,44.09,NA,70.65,176.935,72.26,151.12,NA,82.09,32.32,NA,NA,NA,33.84,28.99,NA,NA,NA
Erskine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.07,46.9733333333333,56.81,46.5166666666667,81.015,75.5933333333333,123.21,236.25,162.32,108.293333333333,59.0333333333333,23.08,27.1966666666667,46.97,21.155
Eyemouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935,1.785,0.12,0.115,NA,0.225,3.275,7.485,0.505,0,0,0,NA,NA,NA,NA,NA,NA,NA,36.21,3.6,NA,NA,98.9,7.495,28.515,NA,NA,81.61,NA,22.65,131.21,45.14,55.915,109.02,14.42,NA,31.985,33.26,NA,NA,102.13,37.85,NA,NA,NA,45.135
Fairlie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.135,0.89,0.845,2.235,0,0.445,0,0,NA,0.23,4.07,0,0,0.225,0.3,1.365,0.255,1.665,3.22,2.195,5.53,9.79,0.525,4.72,0,4.055,17.275,15.815,30.44,108.56,NA,9.15,0.02,NA,11.955,9.68,46.275,23.805,9.12,245.835,NA,NA,61.955,NA,NA,NA,NA,NA,NA,11.29,NA
Falkirk,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.3,1.86,NA,3.32,NA,34.48,26.51,20.81,4.56,NA,NA,15.7,NA,47.93,3.64,25.92,NA,NA,31.62,96.03,21.64,30.07,69.85,243.34,85.67,46.05,4.92,30.035,13.93,24.26,23.35,8.21,7.295,NA,2.425,0.835,6.245,12.825,5.33,4.54,15.125,13.87,19.14,114.48,119.37,75.61,41.635,33.39,15.2,51.63,41.71,85.45,247.93,244.53,153.1,71.44,132.08,82.63,95.6033333333333,51.67,146.365,48.17,50.8233333333333,82.815,73.18,277.43,101.663333333333,197.07,231.15,NA,118.53,141.75,75.3933333333333,42.1733333333333,46.9866666666667,79.71
Fauldhouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.27,2.2,2.57,30.39,35.28,18.08,2.64,18.205,NA,4.47,18.49,23.68,10.14,16.815,2.26,2.08,NA,0.245,NA,1.485,5.05,1.155,0,0.83,14.38,9.13,36.925,76.53,112.345,315.46,NA,113.13,50.28,7.71,NA,94.23,389.78,548.1,330.17,243.79,143.46,61.17,NA,NA,61.865,273.66,38.37,53.35,80.405,174.48,NA,42.87,108.29,NA,NA,63.29,NA,46.44,NA,84.47,124.42
Forfar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.77,7.145,16.68,2.03,6.965,NA,0.555,0.53,0.82,1.725,2.41,2.57,31.98,26.48,13.53,17.995,54.53,113.105,56.355,15.81,19.035,5.4,17.48,54.475,70.425,187.97,148.79,40.87,NA,30.43,NA,152.64,123.745,30.61,62.55,129.74,169.87,53.02,48.46,43.56,59.56,NA,177.5,104.4,NA,52.58,81.01,NA
Forfar - Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91333333333333,0,0.14,0.576666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,0,0,0.39,1.2,11.21,4.895,2.57,18.535,1.68,107.26,52.875,NA,NA,NA,33.3566666666667,13.85,10.03,36.17,17.19,NA,9.35,NA,46.06,27.98,100.915,151.545,NA,NA,NA,167.905,141.94,96.79,24.5,166.255,NA,NA,NA,127.62,62.58,NA,NA,55.49
Fort William,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0,0,0.43,0.61,0,NA,31.44,109.71,NA,9.14,NA,179.35,1.41,NA,0,NA,1.93,1.22,NA,NA,NA,0.2,416.18,1.13,0,0.61,2.7,0,NA,8.075,0.765,1.29,1.065,0,0,0,0,0.16,0.075,0.23,0,9.17,22.83,20.63,6.68,21.74,19.33,NA,67.04,46.45,50.71,60.83,63.115,NA,139.6,92.98,535.77,63.925,39.48,71.095,27.295,73.25,21.44,72.465,47.84,47.48,52.595,6.725,13.14,36.42,NA,44.56,NA,33.67,123.19,28.15,28.06,NA,NA
Fraserburgh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.975,19.6866666666667,9.13,24.17,20.585,22.1466666666667,40.1833333333333,9.61666666666667,4.34333333333333,4.15666666666667,0.506666666666667,0.715,7.25,1.46,0,0.09,0,0.11,0.07,0.07,1.5,5.855,34.09,70.08,81.87,54.77,73.46,NA,NA,26.89,35.51,212.79,103.055,56.87,57.05,48.28,26.71,84.065,105.6,301.035,237.47,74.495,33.65,42.12,60.25,29.54,19.28,NA,338.3,NA,NA,95.48,14.88,39.975,95.5
Galashiels,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.28,NA,5.18,2.69,1.81,1.61,24.67,13.69,1.36,13.63,0.64,0,2.78,NA,NA,4.84,21.57,2.01,50.01,2.42,NA,1,0,0.62,0.59,0.64,1.8,0.39,NA,0.56,NA,0.14,0,0,0.14,1.06,0,1.36,4.85,33.03,1.94,18.7,NA,14.22,11.4,11.38,30.92,145.64,249.25,107.77,52.34,16.69,39.43,19.56,16.98,22.65,51.92,160.13,38.415,24.165,105.21,253.03,NA,10.695,36,20.56,157.03,41.87,25.075,24.535,NA,39.825,117.92
Girvan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,2.47,0,2.71,0.53,0,1.48,4.74,3.45,NA,2.53,0,NA,0,0,1.75,3.16,6.23,2,32.05,NA,NA,84.86,73.42,NA,NA,0,NA,NA,646.78,260.76,48.2,106.91,NA,NA,4.69,72.71,44.13,37.14,102.62,51.14,NA,172.51,83.16,69.28,234.62,75.29,NA,NA,NA,40.78,43.02
Grantown on Spey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guardbridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,0,0,1.03,0.55,10.665,0.855,0,0.655,6.36,0.9,0,NA,0,0.105,0,0,0,1.055,1.315,3.51,1.99,7.17,NA,NA,NA,16.17,48.47,NA,NA,60.12,144.96,184.2,77.15,238.545,14.88,86.72,NA,26.17,89.655,93.795,47.235,286.57,69.43,NA,21.47,87.28,NA,NA,22.76,67.51,55.99,NA,49.965,27.59
Haddington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.9,26.815,98.415,372.98,87.97,51.235,NA,NA,NA,58.005,41.78,NA,NA,NA,136.835
Hamilton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.46,1.63,NA,3.91,5.49,15.62,NA,91.56,38.45,NA,137.38,31.2033333333333,27.2033333333333,23.665,17.7033333333333,40.06,18.1,NA,30.68,18.79,51.89,18.17,17.78,33.63,12.54,23.36,14.74,5.15,11.7,7.735,13.67,12.72,6.62,6.36,NA,14.41,7.17,8.625,4.82,6.055,9.23,6.535,13.175,11.5,65.565,59.07,79.3,74.62,89.04,55.42,57.58,103.375,167.55,349.445,831.335,237.13,125.135,148.755,46.88,68.565,60.005,97.305,65.2433333333333,48.3633333333333,66.125,120.33,48.72,52.71,132.45,197.34,293.38,120.54,61.68,34.97,49.7333333333333,72.6766666666667,66.33
Harthill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.32,23.05,0.51,NA,3.49,60.53,33.3,1.9,14.47,10.1,1.54,7.31,NA,NA,0.73,NA,0.92,0.33,0.52,0.16,2.79,0,0,58.37,7.8,73.47,87.6,132.12,64.01,634.09,NA,NA,NA,NA,NA,NA,NA,NA,22.45,177.73,NA,159.6,247.4,82.23,NA,261.08,NA,NA,212.63,674.86,153.11,NA,56.04,NA,NA,NA,NA,NA
Hatton,0.58,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97,6.05,1.04,0.57,1.03,5.45,11.21,5.08,NA,16.2,29.44,40.97,15.25,7.33,NA,16.18,12.47,NA,NA,28.64,39.88,43.6633333333333,31.9866666666667,36.17,43.29,11.5633333333333,5.88666666666667,5.49666666666667,8.61666666666667,6.28666666666667,7.95,8.06,9.36,10.02,5.915,2.43,NA,3.59333333333333,3.89666666666667,5.33333333333333,9.015,16.4133333333333,32.7933333333333,18.3566666666667,73.94,87.365,226.176666666667,75.975,42.5766666666667,33.8,19.4433333333333,26.4666666666667,55.975,95.62,217.18,148.32,126.18,83.9566666666667,105.783333333333,104.16,88.8433333333333,59.4533333333333,84.6733333333333,33.52,56.0075,75.3933333333333,78.2,58.6933333333333,56.5375,95.7375,131.95,197.83,114.675,122.76,57.9625,70.6733333333333,106.4875,120.42
Hatton - Fintry East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0,2.14,0.67,0,1.125,1.825,6.555,206.29,141.485,11988.53,795.775,60.325,19.13,13.5,13.61,6.505,71.16,8.53,NA,803.06,692.57,NA,NA,NA,NA,208.595,466.67,20.2,49.03,27.68,NA,NA,42.45,32.39,NA,NA,321.74,NA,NA,21.14,NA,NA
Hatton - Fintry North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.765,0.89,0,0,0,25.65,12.51,17.86,53.475,181.86,231.35,235.87,178.155,37.385,233.72,97.46,57.08,13.095,164.995,160.41,792.79,NA,NA,NA,16.43,NA,118.7,40.935,49.28,20.55,75.82,21.71,NA,43.31,23.875,NA,NA,106.88,27.42,NA,NA,75,NA
Hatton - Fintry West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1375,0,3.94,0.855,0,1.195,12.325,338.84,9.975,63.155,221.13,127.47,497.815,49.4,26.06,74.37,5.985,0.81,61.92,116.4,NA,NA,NA,NA,135.53,NA,104.715,64.835,4.855,16.02,80.26,NA,NA,15.635,769.88,NA,NA,NA,75.44,NA,29.78,NA,NA
Hawick,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,4.12,2.19,1.81,0,4.07,3.7,3.88,0.37,3.44,2.33,0.55,3.99,4.3,19.33,3.98,19.89,10.11,NA,24.09,82.89,106.47,25.92,27.79,3.52,0.23,3.15,0,0.18,0.58,0.2,0.41,0.78,0.36,0,NA,NA,0,2.34,0.95,0.16,NA,NA,0.83,33.71,13.05,1089.3,NA,20.54,33.59,14.13,8.65,35.48,51.76,38.49,11.82,17.71,11.59,46.89,15.49,41.29,0,110.63,55.41,151.97,86.44,24.05,54.67,41.49,NA,196.95,NA,85.65,47.43,26.84,31.78,9.52,68.46
Helensburgh,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,4.28,0,3.12,67.93,58.09,10.02,142.74,4.77,16.3,16.27,22.84,NA,NA,NA,11.68,53.08,24.63,70.67,49.31,22.54,340.31,142.35,93.07,73.94,22.79,40.49,47.79,44.94,82.43,44.62,NA,1.98,5.45,3.27,1.13,5,12.08,5.69,0,11.74,5.43,14.08,0,67.88,36.98,25.2,15.41,5.78,6.56,0,1639.82,122.05,347.84,349.74,235.41,NA,69.98,82.88,110.935,156.485,140.09,67.17,NA,177.09,80.97,286.6,174.46,221.49,NA,82.42,NA,110.355,241.81
Huntly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0,0.605,8.23,11.77,2.645,6.92,18.85,10.47,66.465,9.685,7.98,181.33,156.45,21.225,NA,NA,206.7,142.505,NA,137.11,178.275,46.535,35.725,72.61,144.585,8.35,15.345,163.22,NA,597.15,21.15,NA,NA,16.19,15.82,NA
Inverclyde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.61,28.68,92.27,117.89,42.61,44.31,14.24,15.51,11.1,6.9,9.835,8.58,1.55,6.51,2.845,1.895,4.775,1.74,1.64,7.85,0.825,10.645,3.80333333333333,3.46,7.24666666666667,7.045,6.265,17.925,39.37,47.56,25.625,18.68,46.145,NA,21.66,41.235,54.325,79.775,194.91,79.925,35.485,95.98,23.62,35.99,46.825,41.58,45.51,19.13,59.5925,39.05,59.38,65.58,94.32,NA,229.35,113.62,67.44,23.2033333333333,21.9466666666667,28.51,35.535
Inverclyde - Gourock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3725,83.36,201.35,25.085,7.34,190.53,NA,NA,85.61,325.115,53.64,96.515,194.105,79.1,40.58,14.68,51.405,90.74,28.72,67.71,129.105,83.05,84.94,79.55,NA,NA,106.48,NA,28.12,24.395,32.33,68.35,24.11,56.58,NA,33.45,24.73,NA,NA,137.34,83.07,NA,NA,NA,NA
Inverurie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94,NA,0.075,4.18,15.49,2.14,2.68,4.52,0.44,4.87,4.81,11.14,115.785,NA,43.88,36.35,NA,20.6,NA,NA,225.43,322.18,93.86,NA,NA,237.12,NA,232.145,227.055,87.995,45.96,120.14,157.745,76.06,18.98,76.62,NA,NA,101.52,82,23.27,NA,NA,NA
Ironmill Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,8.04,1.08,NA,4.74,12.44,12.605,8.145,5.255,52.025,1.42,2.27,NA,0.79,0.305,16.4,0.565,5.32,15.35,2.09,21.035,29.59,140.285,14.795,37.385,47.15,53.81,5.01,NA,NA,NA,41.65,87.515,34.41,NA,64.74,NA,NA,16.02,86.01,85.845,82.31,68.005,43.13,45.85,77.685,49.63,NA,NA,112.285,NA,NA,NA,59.65,48.02
