,2022-02,2021-14,2021-26,2021-01,2020-45,2021-36,2022-05,2021-13,2020-50,2020-29,2021-38,2020-33,2021-50,2021-25,2021-04,2021-45,2021-33,2020-38,2021-10,2022-06,2020-53,2021-22,2021-28,2020-41,2021-07,2021-40,2020-25,2020-37,2022-03,2021-15,2021-21,2020-48,2020-46,2021-37,2021-43,2020-26,2021-39,2020-32,2021-09,2021-51,2021-24,2021-03,2021-44,2021-30,2021-11,2020-52,2020-31,2020-42,2021-06,2021-47,2021-18,2020-22,2020-36,2021-49,2021-16,2021-20,2020-49,2020-47,2021-34,2021-42,2020-27,2020-35,2021-08,2021-27,2021-52,2021-02,2020-44,2021-31,2022-04,2021-12,2020-51,2020-28,2020-30,2020-43,2021-05,2021-46,2021-19,2020-23,2021-32,2020-39,2022-01,2021-48,2021-17,2021-23,2021-29,2020-40,2021-35,2021-41,2020-24,2020-34
Allanfearn,119257,9093.66666666667,92686,69420,8493,552046.5,54960,1316.33333333333,1607.5,,188965.5,434,73765.5,23548.5,38834.5,58777.3333333333,77068.75,1113.75,37300.25,139249.5,,745.5,94041.3333333333,4006,40512.25,72200.6666666667,0,2845.25,52109.3333333333,2681.5,601.333333333333,10664,3858.66666666667,314049,156805.25,,97012.3333333333,435,10975,191008,8624.75,36351.25,45648,129899,16571,,,4605,58960,165955,16607,,3564.25,88745.75,8421,588.25,3328.75,7832.33333333333,290007.75,60537.25,0,353.5,32657.25,156193.25,,77327.75,30269.75,43437.5,111312,31165.5,3919.5,,,10806.75,36219.3333333333,78481,8482.75,0,43954.6666666667,4193.75,104625.5,169462,2919,2384,87872.5,1892.75,557842.333333333,96598.5,0,698
Allers,,3857,317623,164611,,1081826,,8910,,,138315,,249906,77538,70511,310774,,,2164,204570,,12959,172052,,60768,,,,,15269,4087,,,299940,41069,,77248,,15091,,14018,60401,57559,182675,3334,,,,12350,374575,7443,,,243833,,2386,,,,123163,,,46774,274111,449283,160353,,,,3694,,,,,44506,237807,10590,,,,NA,,12276,9470,108883,,960625,,,
Allers - St Leonards,,26229.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40169,,,,,,,
Alloa,92997,33859.5,81505,111031.666666667,,611193.5,110314.5,22800.3333333333,,,74989,,74396,69111,45315,115729,206421.5,,31512.6666666667,229783,,41124,208317,,18428,131851,,,57654,20070,21387,,,195319,188884,,281593,,17336.6666666667,NA,32946,14117,75495.5,,29208.3333333333,3325,,,57188,112677.5,20652.5,,,94273,,15459,,,340498.5,54429.5,,,30908.6666666667,75838.5,,134828.666666667,,84715.5,38998,28714.3333333333,28652,,,,55412.5,89206.5,29868.5,,67159.5,,215815,206461,10210,53874,80889,,447929,118228.333333333,,
Alness,,,,,,,NA,,,,,,14795.5,,,,,,,,,,,,,,,,73130,,,,,,,,,,,,,,,,,,,,,235220,,,,75796,,,,,,,,,,,,,,,,,,,,,,781687,,,,,,NA,,,,,,,,
Alva,,4475.5,76066,,,538901.5,752859,5334,,,73580,,120936,44692.5,,110270.5,,,23393.5,183432,,98068.5,43734,,71297.5,270461,,,153344.5,2498,5130.5,,,211164.5,253048.5,,195669,,14773,,41562.5,,95325,38202,5809,,,,,256382,877,,,42389,,4651.5,,,,187682.5,,,66241,72262.5,,,,,,6407.5,,,,,,263265.5,2560.5,,,,152478,,2475,57177,91167.5,,245351,,,
Annan,104050,0,61889,1193429,2180,897852,48858,NA,0,,58010,,42869,13711,24242,62031,104565,0,24598,52261,,11180,,0,957,53707,,0,213833,1548,0,375,4477,433865,37554,,79165,,0,43924,37858,17339,15514,,5785,,,1290,26815,275562,2981,0,0,2925,,2584,0,14298,517191,7675,,0,6882,305215,,332249,1779,43863,,716,,,,1007,5982,218826,569,,69592,580,32704,156724,1544,NA,100038,0,191323,88414.3333333333,,0
Ardoch,53734,3336,20484,,,NA,88205.5,4081,,,9838,,18601,11299.5,,39039,,,24719,99633,,1747.5,39349,,17081.5,88637,,,55467.5,2081.5,1847.5,,,NA,39413.5,,NA,,4363.5,,5290,,72062,53865,9233.5,,,,,46228,1052.5,,,47761,,246.5,,,,52734.5,,,3992,78482.5,45193,,,,46204.5,11908,,,,,,64286,346.5,,,,79569,65417,958,7418.5,23397,,17081,,,
Armadale,,11554.5,296756.5,33772,,1102894,398368,2932,,,,,,99278.5,236472,139049.5,,,30150.5,421605,,19098,,,182270,51717,,,,1735.5,68283,,,564655.5,238216.5,,176779,,13485,,67787,20584,108458,458937,18416.5,60284,,,112475,222895.5,14490.5,,,283472,,1225,,,,90526.5,,,37139.5,265018,,37537,,,77723,14500.5,12986,,,,54461,188087,12185.5,,,,1697777,119673,5137,10945,222823,,756657,,,
Aviemore,NA,,,,,162181.5,39662,,,,,,493475,26286,,315450,72017,,,143058,,,893406,,,77299,,,14245,,,,,NA,347819,,NA,,,,10969,,NA,156855.5,,,,,,161916,,,,253544,,,,,144177,181516.5,,,,545645.5,,,,229339.5,31349,,,,,,,316250,,,,,,403815,,769,307115.5,,246207.5,444696,,
Banchory,,,11440,,,616747.5,239706,,,,,,118184,1022.5,,381608,15506,,,,,491,26586,,,121617,,,74842,438,0,,,87542,,,191309,,,NA,7755.5,,44657,13473,,,,,,87131,1755.5,,,29963.5,,496.5,,,247314,99733.5,,,,26714,,,,11086.5,,,,,,,,92211,0,,28148,,155533,63127,1380.5,1450,67907,,139844,,,
Banff,,,58885.5,,,862369,123349,,,,445335,,90976,3083.66666666667,,58962.3333333333,,,,55136,,3378,77679,,,392882,,,141015,465,300.333333333333,,,271561,322335,,,,,190860,232.666666666667,,NA,66583,,,,,,105241,1005.66666666667,,,10955,0,628.333333333333,,,375741,69370,,,,71200.3333333333,,,,21459,NA,,,,,,,114351.5,377.666666666667,,,,116272,62604.5,597.333333333333,3509.66666666667,105722,,1084797.66666667,160309,,
Bathgate,26622,NA,460664,12293,,205206,139059.5,38065,,,,,91251.5,109897.5,61048,161624,161264,,7367,80217,,16904,93447,,43472,168380,,,88486,2367.5,5542,,,233655,41717,,89090,,44143,282818,599,0,60491.5,53191.5,13700.5,,,,61679.5,191942,4640,,,41578,,6906,,,,91198,,,39242,166324,,13479,,,47297,7804.5,38394,,,,72119,120845,18425,,,,42000,NA,4059.5,5091,314239,,198609.5,,,
Biggar,,,,24495,,,,NA,,,,,,,20087,,,,64461,,,,,,760,,,,,,,,,,,,,,1513,,,0,,,700,,,,1277,,,,,,,,,,,,,,641,,,0,,,,930,,,,,20530,,,,,,,,0,,,,,,,
Blackburn,,18002,155819,40228.6666666667,,351256.333333333,93510,16114,,,94060.5,,88529,36486.5,2450,92594,,,10017.5,57506,,41432.5,174816.5,,56749,38787,,,111935.5,9532,17192,,,,344623,,4363,,13662.5,236362,38499.5,14462,75945,108830,12538.5,,,,43062,53918,7697,,,128640.5,35621,16288,,,,37980,,,49144,219151.5,,21683,,,187180,26624.5,4447,,,,22147,94541,2376.5,,42617,,71588,115515,27195.5,60334,98734,,734880.5,135724.5,,
Blackridge,34327.5,125867,70590,2365,,439697,139909.5,24313,,,,,123721,37410.5,43456,1749,,,612.5,68581,,16923,5007354,,71844,,,,9495,405827,28015,,,1165431,47967,,NA,,9671,NA,23050.5,6648,21668.5,282768,3156,999,,,52270,87429,12477.5,,,89667,,24890.5,,,,37892,,,112067.5,1200259,,3979,,,25290,7548.5,2065,,,,97715,73294,33396.5,,,,14070,87358,9319.5,17948.5,103366,,154556.5,,,
Blackwood,,0,17746,120248,,NA,,6116,,,,,227841,18537,25518,64848,232701,,633,219183,,36023,1222774,,55129,30680,,,,,17432,,,93197,,,,,4736,,38819,,22253,269243,1988,,,,9784,,NA,,,13138,,NA,,,,49997,,,93444,710422,,406621,,,,8858,,,,,98253,51225,0,,,,40460,,591,59357,644470,,557769,,,
Blairgowrie,,16660,26308,,,,,30109,,,277884,,41212,17855,,117032,111647,,,,,13043,275281,,3130,31463,,,227332,,NA,,,149057,452409,,,,2614,NA,19224,,181488,121448,127712,,,,,613077,0,,,31615,,2470,,,102601,1130147,,,8067,85490,,,,81673,,82158,,,,,,,5717,,57652,,106647,,1133,4231,38453,,155956,,,
Boness,67022,9930,96230.5,,,622443.5,54322,3458,,,29819,,169957,37804.5,,31171,,,2841.5,100631,,5957.5,336147,,33645,20156,,,51399,4693,1409.5,,,42662,266724,,35057,,2680.5,,155,,30857.5,70719,16764,,,,,60194.5,359.5,,,145200.5,,1983.5,,,,29443,,,98199.5,91907,,,,90181,,8157.5,,,,,,54865.5,1874,,,,215601,,734.5,4450,63317.5,,323229,,,
Bonnybridge,111253,8842,177681,,,483756,165262,41311,,,,,144762,24122.5,,70376,,,12095,,,26921,46302,,64587,191680.5,,,80559,3347,26916,,,287630,89144.5,,293844,,71198,,8529,,48195,76161,18135,,,,,439752.5,3434,,,108920,,4014,,,183711,96999.5,,,46934.5,193309.5,,,,119024,51952,32442,,,,,,64271,15895,,,,,378204,1518.5,13068.5,113820,,171421,,,
Bothwellbank,,8169,25530,50564,,1298700,,7377,,,311387,,259310,14392,52351,94872,,,10933,112338,,11258,479350,,46224,129797,,,,8236,7115,,,658297,161250,,,,24338,750128,17020,31869,70341,196492,15112,,,,20710,101074,4731,,,44827,,3117,,,,119477,,,25492,158116,,67947,,,,8447,,,,,2885,68928,,,,,380537,,2303,10441,66028,,904681,,,
Bowhouse,110903,0,31723,,,409775,,680.5,,,54751,,106796,59703.5,32051,153457,,,3903,144843,,1235.5,73177,,882.5,190533,,,53063,NA,432,,,314952,190429,,133036,,2724,,19738,,177652.5,,824.5,,,,10247.5,76947,0,,,39471.5,,550.5,,,219176,96822,,,532,20424.5,,,,,81463,605.5,,,,,10342,74342,NA,,,,134210,91000,169,5463,,,468727.5,,,
Buckie,NA,,64359,,,99632,,,,,,,28464,37956.5,,94492.5,,,,224849,,,155606.5,,,86226,,,NA,,,,,87214,487915.5,,,,,,NA,,123642,50516.5,,,,,,124322,,,,38556,,,,,77262,NA,,,,204135,,,,,NA,,,,,,,NA,,,,,50414,NA,,8102,83979.5,,25202,312356,,
Carbarns,228658,28661.5,174552,98845,80014.6666666667,3353197,237220,38366,88571.75,,326293,0,321003.666666667,44494,101195,160341.666666667,89445,16886.25,39913.5,218277,NA,12397,336637,82566.6666666667,23692,250183.5,0,2629.5,190412.666666667,49908.5,5025,37498.3333333333,98262.25,735955.5,260723,,389370,0,21873,723058,23752,34941,164172,267198.5,46324,,,66630.5,72778,182047,6407,0,9226.33333333333,110398.333333333,,6237,62840,52230.3333333333,387008.5,175804,,5175.75,48323,149112,776790,106825,127370,409996.5,178952,32631.5,57628,,,98427.6666666667,168393,129182.5,5766,,199829,63994.5,155126,210989,12130,27286.5,265335.5,53459.75,646916.5,163135,,0
Coldstream,,0,151097.5,,,269381,17720,0,,,,,547424,2535.5,,133659,NA,,3459,22183,,799,48909,,5684.5,28456,,,18310,0,482.5,,,76026,37660.5,,51784,,53298,,2471.5,,4999,93771.5,897.5,,,,23085.5,96537,0,,,8435,,0,,,150142,41118,,,38093,39721.5,,,,165615,,576.5,,,,,,407491,730,,160692,,,,363.5,0,83823.5,,639348.5,,,
Cumnock,,7508,145126,,,143341,64678,9513,,,,,30909,22342,,,,,12468,,,43794,107927,,85619,,,,,2989,1377,,,446588,200253,,94953,,42624,,17045,,781473,161820,13535,,,,,,842,,,117505,,0,,,,71331,,,75691,440415,,,,,66512,30013,,,,,,199297,1580,,,,226703,42678,902,24304,75879,,254938,,,
Cumnock - Netherwood,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5405.2,,,,,,,,,,,,,,,,,,,,,,,,,15364,,,,,,,,,,,,,,,,,,,,
Cupar,,1089,118531,,,285446,NA,1212,,,31081,,103515.5,59234,1645,92662,229309,,7834,164181.5,,1915,57767.5,,313,66647,,,97391,3962,0,,,130009,103674.5,,95338,,8011,,14174.5,,65976.5,34196,31219,,,,827.5,125869,0,,,32120,,164.5,,,,66524.5,,,10437.5,NA,287829,,,,47978,1132.5,,,,,5851.5,148157,3562,,82022,,210151,131622,0,562.5,12456,,120793,NA,,
Dalbeattie,NA,0,2340,944,,NA,100502,540,0,,33876,,82204,,NA,128074,773950,0,1365,115261,,0,9748,7650,NA,75700,,,342847,0,0,0,4541,73584,50837,,150482,,40128,444036,5281,NA,NA,,2931,,,12905,2918,146533,NA,,,NA,,0,582,,657226,137231,,0,3081,6697,,1535,610,48651,,45707,0,,,2498,NA,39954,0,,32342,2270,NA,72653,0,0,63969,20441,315605,151822,,0
Daldowie,138935.5,9870,39220,189362,,,147411,15443,,,157944,,,41747,,19655.5,94982,,30529,159509.5,,10724,,,64724,49419,,,78098,39118,19115,,,397203,58342,,170721,,68140,,50757,46938,37301,163726,26113,,,,46759,,10344,,,,,14780,,,162266,70849,,,24883,248915,,541165,,215042,103972.5,30486,,,,,50893,,4384,,66182,,255290.333333333,,7386,10230,290884,,196525,83430.6666666667,,
Dalmarnock,128622.75,8788,212515.5,,,784106.5,23392.5,NA,,,290834,,,82536.5,21582,,303438.5,,22874,12533,,,329167,,94128,148774.5,,,24418,23115,,,,238238,126806,,167396.5,,72450,,42970.5,,,222315,45941,,,,NA,,7421,,,,,,,,264205,65916.5,,,52411,216418,,NA,,,NA,27003,,,,,NA,,34154,,46509,,,,14420,56732,174583,,824444,87845,,
Dalmuir,123831.75,22331.5,,93163.5,16141,1449988.5,63479.6666666667,13684,35463,,262890,,201722,116101.5,77830,137713.333333333,292142.5,1863,22562,79738.6666666667,77744,58757,261204,73533,31496.3333333333,150133,,14977,137144.75,22321,23371,37630,53355,191488,99416.5,,181661,,18261,551863,28595.5,41061.3333333333,70115,99703.5,30710.6666666667,,,39797,70175.3333333333,197367,5454.5,569,9130,133572.333333333,,16667,50580,37429,227325.5,60934.5,0,10913,36602,215875.5,282404.5,134663.333333333,3418,107500,126428.5,24489,16017,,,73624,59552.5,186996.5,34630.5,,55818,24505,187109,184871.333333333,8447,57962,135855,59329,657170,142661.5,0,1738
Dalmuir - Auchinairn (6298),367425,1333.25,239608,,,55533,,,,,88916,,114947,19929,,123146,266375,,,,,24781,230662,,,,,,,2251,,,,108898,115764.5,,,,,,973,,150432.5,33677.5,,,,,,20280,194,,,78173,524,,,,265238.5,143309,,,,115721,,,,62512.5,,,,,,,,68776.5,852,,6384.5,,360521,,340,39685.5,16316,,483323,,,
Dalmuir - Auchinairn (6330),,5548.5,93348,,,153206,,,,,NA,,122806,37054.5,,116811,439936.5,,,,,11109,154929,,,164342,,,,7777.5,,,,863129,156283,,,,,,46764,,28753.5,57530,,,,,,75360,2170.5,,,5452,6142,,,,347715,NA,,,,107116,,,,16319.5,,,,,,,,35971.5,1809,,15467,,72120.5,,866.5,38931,77708.5,,334452,,,
Dalmuir - Clydebank,,4376.75,310324.5,,,,,,,,,,,84473,,,,,,,,76376,62144,,,,,,,15868,,,,,,,,,,,4938.5,,,,,,,,,,148.5,,,,,,,,,,,,,101221,,,,,,,,,,,,,0,,17392,,,,2481.5,6310.5,70729.5,,,,,
Dalmuir - Minerva St,,,,,,,,,,,,,,,,1075739,,,,,,,,,,,,,,,,,,,,,,,,,,,371033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalmuir - SECC,,,,,,,,,,,,,,,,655933.75,,,,,,,,,,5108,,,,,,,,,374955.5,,,,,,,,81557.5,,,,,,,8228,,,,,,,,,,71885.8,,,,,,,,,,,,,,,,325453.5,,,,,,,,,,,,17793.2,,
Dalscone,,NA,,NA,,,,NA,0,,,0,,,NA,,,579,1644,,,,,11443,NA,,,585,,NA,,6803,,,,,,,1225,,,NA,,,2642,,,5811,NA,,,,,,,,3442,27598,,,,0,NA,,,47144,2801,,,8964,2592,,,,NA,,,,,1021,,,0,,,13612,,,,0
Denny,,183158,55968,,,2981.5,13298,68076.5,,,134990,,128729,20181.5,,27698.5,,,15025,28237,,2157.5,82213,,34330,191010.5,,,27836,27942.5,6579.5,,,27235,22239.5,,64817,,28957,,35974.5,,38438,58686,58644.5,,,,,144528.5,4944,,,164660,,30401.5,,,66581,46953,,,21059,120132,,,,NA,,61260.5,,,,,,158599,5261,,,,124906,110523,14263.5,1581,77096,,5996.5,113493,,
Dunbar,336547,2341,126039,,,,,897,,,,,130688,48780,,245758,,,27549,77798,,NA,457146,,2385,62963,,,93618,0,6695,,,146913,,,61762,,49375,,9722,,86412,37336,6696,,,,,254931,0,,,211835,,0,,,162048,15344,,,18186,331132,,,,,57978,1657,,,,,,NA,0,,,,,,0,39307,113747,,351300,29289,,
Dunblane,69789,3191,252254,,,173898,25340,414.5,,,150112.5,,136810,103307,,50770,158322,,,97138,,7144,72818,,,185607,,,,1483,53386,,,194134.5,222602,,160135,,,,15835007,,56715.5,94404,,,,,,309187.5,3114.5,,,25193,,2091,,,59956,162767,,,,185464.5,,,,49484,,,,,,,,229834.5,1528.5,,,,233715.5,,5433,27148.5,50609,,162798,,,
Dunfermline,244247.333333333,18135.5,289435,98810,28348,1941023,216823,10485.5,24544,,180816.5,66048,291055.666666667,88483.5,3645,207970.666666667,187851,5726,19712,270376,,4198.5,446915,12208,28133,95965,,727,180111.333333333,,6486.5,,53158,470897,112443.5,,97086,623,35191,452435,25072.5,18759,112787,155100,15563,,0,25707,13021,152218,2528.5,0,241,236571.5,,5522.5,62342,12680,383694,109084.5,,1155.5,21250,213323,316912,64637,9640,164294.5,178674,15698,44877,,,15082,18697,441008.333333333,15373.5,0,53752.5,13036,165446.333333333,NA,16351,17137.5,241501,5246,477571.5,149568,0,2718
Dunnswood,65673,10522,209630,265453,,1819957,,3239,,,64212,,19173,17425,,115451,,,33518,248418,,8219,,,,,,,,19994,4653,,,222690,204741,,,,69506,,,54660,104746,196190,29328,,,,,79654,,,,NA,,1150,,,,13612,,,6823,352126,,104315,,,,7369,,,,,148789,141285,,,20359,,,,,20282,133366,,880179,,,
Dunnswood - Carrickstone,,19654.5,,,,,,2546,,,,,,,,,,,,,,,,,,,,,,1957,,,,,,,,,,,,,,,,,,,,,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunoon,,,,,,,41248.5,,,,,,72289,,,,,,,9880,,,,,,,,,24169,,,,,,,,,,,,,,,,,,,,,,,,,23882,,,,,,,,,,,,,,,14706,,,,,,,,,,,,21886.5,30694,,,,,,,,
Duns,29558,0,30459,,,21142,26862,351.5,,,30440,,59873,316,,140198,102886,,942.5,108078,,476.5,18806,,6010.5,45337,,,37587,0,0,,,65399,77256.5,,10798,,824.5,,6951,,77719,5169,0,,,,1426,52916.5,1407,,,181257,,0,,,11605,19377,,,2263,13462.5,,,,,4938,0,,,,,,37579.5,259,,,,,,0,367.5,24874.5,,40548,,,
East Calder,158241.666666667,51579.5,47530,81314,,495449,201839.666666667,54584,,,214309,,477803.5,41337,143903,133503,302550,,52002,184245,,12126.5,107365,,49452,403064,,,120898.666666667,25255,13357,,,336120,140557,,411082.5,,25362,332039,12534,25227,252115,132635,94197,39219,,,118691,75011,3963.5,,,157083.333333333,,2969.5,,,,157066.5,,,45898.5,165215.5,667415,28408,,77699,145567.5,52795.5,195137,,,,42573,100434,2952.5,,33292,,170979.5,318658,1794,14772,89457,,299045,281510.5,,
Ellon,59641,,11234.5,,,459370,,,,,114369.5,,47387,9002,,248221.5,68891,,,,,151.5,39419,,,211943,,,51836,8241,3901,,,,,,46333,,,,584,,78406.5,63743,,,,,,258355.5,383.5,,,96078.5,,0,,,,68537.5,,,,22415,,,,51534,,,,,,,,119483,929,,,,,,1483,0,20772,,263781,,,
Erskine,75202,,,,,,86299.3333333333,,,,,,196922.333333333,,,76440,,,,34536,,,,,,,,,46435,,,,,,,,,,,458950,,,40702,,,,,,,91409.6666666667,,,,121552,,,,,,,,,,,255703,,,,62360,,,,,,,95273,,,,,133392.666666667,162510.5,,,,,,,,
Eyemouth,46319,188.5,,,,17043,,2561,,,,,37410,,,95989.5,,,,64514.5,,0,,,,100818,,,,182.5,0,,,61693,241646.5,,,,,,,,57299,,,,,,,20792.5,4205,,,24320,,793.5,,,,36280.5,,,,,,,,77373,,1356,,,,,,122443.5,8528.5,,4591,,128692.5,,348,0,,,220687.5,,,
Fairlie,,0,3104,,,19363.5,8673,307,,,,,33808,1474.5,,14737.5,3775,,7131.5,,,266,3846,,21820,11,,,,0,212,,,84398,3987,,4366,,1269,,212.5,,26622,506.5,1379,,,,,186401.5,3427,,,,,0,,,12133,6993,,,3481,1873.5,,,,5181,,0,,,,,,3263,0,,0,,,,211.5,1098,10355,,14464.5,,,
