,Health_Board,Site,Latitude_dd,Longitude_dd,Population,2020-05-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-32,2020-08-33,2020-08-34,2020-08-35,2020-08-36,2020-09-36,2020-09-37,2020-09-38,2020-09-39,2020-09-40,2020-10-40,2020-10-41,2020-10-42,2020-10-43,2020-10-44,2020-11-45,2020-11-46,2020-11-47,2020-11-48,2020-11-49,2020-12-49,2020-12-50,2020-12-51,2020-12-52,2020-12-53,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-31,2021-08-32,2021-08-33,2021-08-34,2021-08-35,2021-09-35,2021-09-36,2021-09-37,2021-09-38,2021-09-39,2021-10-39,2021-10-40,2021-10-41,2021-10-42,2021-10-43,2021-11-44,2021-11-45,2021-11-46,2021-11-47,2021-11-48,2021-12-48,2021-12-49,2021-12-50,2021-12-51,2021-12-52,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-02-05,2022-02-06
30,Greater Glasgow and Clyde,Daldowie,55.8325433151428,-4.12657320490419,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189362,541165,46938,NA,50893,46759,64724,24883,68140,30529,26113,30486,15443,NA,9870,39118,NA,7386,10344,4384,14780,19115,NA,10724,10230,50757,41747,39220,NA,248915,NA,290884,163726,215042,66182,94982,162266,196525,NA,NA,397203,157944,170721,NA,49419,83430.6666666667,70849,58342,37301,19655.5,NA,NA,NA,NA,NA,NA,NA,NA,255290.333333333,138935.5,78098,103972.5,117387,157419,159509.5
31,Greater Glasgow and Clyde,Dalmarnock,55.8373762013829,-4.21934344578944,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21582,NA,NA,94128,52411,72450,22874,45941,27003,NA,NA,8788,23115,NA,14420,7421,34154,NA,NA,NA,NA,56732,42970.5,82536.5,137303,287728,216418,329167,174583,222315,NA,46509,303438.5,264205,824444,NA,784106.5,238238,290834,199017,135776,148774.5,87845,65916.5,126806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128622.75,24418,NA,NA,23392.5,12533
32,Greater Glasgow and Clyde,Dalmuir,55.9083136749758,-4.43868090515167,100k +,569,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1738,10913,NA,9130,14977,1863,24505,59329,NA,73533,39797,73624,3418,16141,53355,37429,37630,NA,50580,35463,16017,NA,77744,93163.5,134663.333333333,41061.3333333333,77830,59552.5,70175.3333333333,31496.3333333333,36602,18261,22562,30710.6666666667,24489,13684,NA,22331.5,22321,NA,8447,5454.5,34630.5,16667,23371,NA,58757,57962,28595.5,116101.5,NA,NA,215875.5,261204,135855,99703.5,107500,55818,292142.5,227325.5,778454,535886,1449988.5,191488,262890,181661,NA,150133,142661.5,60934.5,99416.5,70115,137713.333333333,186996.5,197367,210940,132734,133572.333333333,201722,551863,282404.5,187109,123831.75,137144.75,126428.5,66753,61843,79738.6666666667
33,Greater Glasgow and Clyde,Dalmuir - Auchinairn (6298),55.9083136749758,-4.43868090515167,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1333.25,2251,524,340,194,852,NA,NA,NA,24781,39685.5,973,19929,44256,434960,115721,230662,16316,33677.5,62512.5,6384.5,266375,265238.5,184992,781654,55533,108898,88916,NA,NA,NA,NA,143309,115764.5,150432.5,123146,68776.5,20280,NA,NA,78173,114947,NA,NA,360521,367425,NA,NA,NA,NA,NA
34,Greater Glasgow and Clyde,Dalmuir - Auchinairn (6330),55.9083136749758,-4.43868090515167,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5548.5,7777.5,6142,866.5,2170.5,1809,NA,NA,NA,11109,38931,46764,37054.5,37776,148920,107116,154929,77708.5,57530,16319.5,15467,439936.5,347715,366933,301971,153206,863129,NA,NA,NA,164342,NA,NA,156283,28753.5,116811,35971.5,75360,NA,NA,5452,122806,NA,NA,72120.5,NA,NA,NA,NA,NA,NA
35,Greater Glasgow and Clyde,Dalmuir - Clydebank,55.9083136749758,-4.43868090515167,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4376.75,15868,NA,2481.5,148.5,0,NA,NA,NA,76376,6310.5,4938.5,84473,368368,252281,101221,62144,70729.5,NA,NA,17392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Greater Glasgow and Clyde,Dalmuir - Minerva St,55.9083136749758,-4.43868090515167,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371033,1075739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Greater Glasgow and Clyde,Dalmuir - SECC,55.9083136749758,-4.43868090515167,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5108,17793.2,71885.8,374955.5,81557.5,655933.75,325453.5,8228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Dumfries and Galloway,Dalscone,55.0884615989149,-3.59671793344351,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,585,579,1021,NA,13612,11443,5811,NA,2801,NA,NA,27598,6803,NA,3442,0,2592,NA,NA,NA,47144,NA,NA,NA,NA,NA,NA,1225,1644,2642,8964,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Forth Valley,Denny,56.024938625581,-3.89544690360913,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34330,21059,28957,15025,58644.5,61260.5,68076.5,NA,183158,27942.5,NA,14263.5,4944,5261,30401.5,6579.5,NA,2157.5,1581,35974.5,20181.5,33061,78875,120132,82213,77096,58686,NA,NA,NA,66581,9067,2926,2981.5,27235,134990,64817,NA,191010.5,113493,46953,22239.5,38438,27698.5,158599,144528.5,110523,NA,164660,128729,NA,NA,124906,NA,27836,NA,NA,13298,28237
40,Lothian,Dunbar,55.9917175585512,-2.57256720300213,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2385,18186,49375,27549,6696,1657,897,NA,2341,0,NA,0,0,0,0,6695,NA,NA,39307,9722,48780,126039,NA,331132,457146,113747,37336,NA,NA,NA,162048,351300,NA,NA,146913,NA,61762,NA,62963,29289,15344,NA,86412,245758,NA,254931,NA,NA,211835,130688,NA,NA,NA,336547,93618,57978,NA,NA,77798
41,Forth Valley,Dunblane,56.1828075989143,-3.96441892624449,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.5,NA,3191,1483,NA,5433,3114.5,1528.5,2091,53386,11373,2915,27148.5,15835007,103307,157310,347198,185464.5,72818,50609,94404,49484,NA,158322,59956,133970,191626,173898,194134.5,150112.5,160135,NA,185607,NA,162767,222602,56715.5,50770,229834.5,309187.5,NA,NA,25193,136810,NA,NA,233715.5,69789,NA,NA,NA,25340,97138
42,Fife,Dunfermline,56.0202955979275,-3.41014513246599,10k - 100k,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,623,66048,2718,1155.5,0,321.333333333333,727,5726,13036,NA,5246,12208,25707,15082,9640,28348,53158,12680,NA,62342,NA,24544,44877,NA,NA,98810,64637,18759,3645,18697,13021,28133,21250,35191,19712,15563,15698,2432,18539,18135.5,NA,NA,16351,2528.5,15373.5,5522.5,6486.5,NA,4198.5,17137.5,25072.5,88483.5,225215,353655,213323,446915,241501,155100,164294.5,53752.5,187851,383694,294801,660342,1941023,470897,180816.5,101931,92241,95965,149568,109084.5,112443.5,112787,207970.666666667,441008.333333333,152218,NA,NA,236571.5,291055.666666667,452435,316912,165446.333333333,244247.333333333,180111.333333333,178674,232080,209194.5,270376
43,Lanarkshire,Dunnswood,55.9714073583438,-3.95370449979536,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265453,104315,54660,NA,148789,NA,NA,6823,69506,33518,29328,7369,3239,NA,10522,19994,NA,NA,NA,NA,1150,4653,NA,8219,20282,NA,17425,NA,209630,352126,NA,133366,196190,NA,20359,NA,NA,NA,880179,1819957,222690,64212,NA,NA,NA,NA,13612,204741,104746,115451,141285,79654,NA,NA,NA,19173,NA,NA,NA,65673,NA,NA,NA,NA,248418
44,Lanarkshire,Dunnswood - Carrickstone,55.9714073583438,-3.95370449979536,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,848.666666666667,5092,19654.5,1957,NA,NA,2450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Lanarkshire,Dunoon,55.9509667911841,-4.92619311722613,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30694,NA,23882,72289,NA,NA,21886.5,NA,24169,14706,NA,41248.5,9880
46,Borders,Duns,55.7715366776411,-2.32458016654261,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426,6010.5,2263,824.5,942.5,0,0,NA,351.5,0,0,NA,0,1407,259,0,0,NA,476.5,367.5,6951,316,34352,26566,13462.5,18806,24874.5,5169,NA,NA,102886,11605,68224,12872,21142,65399,30440,10798,NA,45337,NA,19377,77256.5,77719,140198,37579.5,52916.5,NA,NA,181257,59873,NA,NA,NA,29558,37587,4938,NA,26862,108078
47,Lothian,East Calder,55.8968656132722,-3.47530037021377,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195137,39219,NA,81314,28408,25227,143903,42573,118691,49452,45898.5,25362,52002,94197,52795.5,54584,NA,51579.5,25255,NA,1794,3963.5,2952.5,2969.5,13357,12845,11408,14772,12534,41337,47530,NA,165215.5,107365,89457,132635,77699,33292,302550,NA,332526,265564,495449,336120,214309,411082.5,NA,403064,281510.5,157066.5,140557,252115,133503,100434,75011,318658,NA,157083.333333333,477803.5,332039,667415,170979.5,158241.666666667,120898.666666667,145567.5,149022,228248.5,184245
48,Grampian,Ellon,57.3648308658724,-2.05750514056289,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8241,NA,1483,383.5,929,0,3901,NA,151.5,0,584,9002,2346,20123,22415,39419,20772,63743,51534,NA,68891,NA,287411,240151,459370,NA,114369.5,NA,46333,211943,NA,68537.5,NA,78406.5,248221.5,119483,258355.5,NA,NA,96078.5,47387,NA,NA,NA,59641,51836,NA,NA,NA,NA
49,Greater Glasgow and Clyde,Erskine,55.8913792504006,-4.41038730362664,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40702,76440,95273,91409.6666666667,161510,163511,121552,196922.333333333,458950,255703,133392.666666667,75202,46435,62360,82121,88388.5,34536
50,Borders,Eyemouth,55.8619698476091,-2.08012445501174,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1356,883,4239,188.5,182.5,NA,348,4205,8528.5,793.5,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,77373,4591,NA,NA,313156,128219,17043,61693,NA,NA,NA,100818,NA,36280.5,241646.5,57299,95989.5,122443.5,20792.5,NA,NA,24320,37410,NA,NA,128692.5,46319,NA,NA,NA,NA,64514.5
51,Ayrshire and Arran,Fairlie,55.7633963436092,-4.8592535874964,0 - 2k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21820,3481,1269,7131.5,1379,0,614,0,0,0,NA,211.5,3427,0,0,212,NA,266,1098,212.5,1474.5,3104,NA,1873.5,3846,10355,506.5,5181,0,3775,12133,NA,14464.5,19363.5,84398,NA,4366,NA,11,NA,6993,3987,26622,14737.5,3263,186401.5,NA,NA,NA,33808,NA,NA,NA,NA,NA,NA,NA,8673,NA
52,Forth Valley,Falkirk,56.0201275396243,-3.76129703443663,10k - 100k,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1903,2085,NA,6494,NA,NA,41042,30605,32240,2506,NA,NA,11608,NA,NA,25709,2889,17292,NA,NA,47482,130261,16060,29710,72551,212565,77856,48650,6831,35725.5,12810,30097.5,27029.5,NA,9884.5,9078.5,NA,3493,1254,6285.5,15607,6424,NA,6178.5,19289.5,17207.5,26087.5,78302,224932,132357,112497,55171,41372.5,18805.5,62854,56211.5,108530,274352,373476,323595,184638.5,87481,168797,147653,91884.5,110540,58345.5,156911,47269.6666666667,55905,101776.5,84448,NA,365167,107679.666666667,229483.666666667,287635,NA,115345,149495.666666667,87945.6666666667,54924.6666666667,116332,28389,77785.5
53,Lothian,Fauldhouse,55.8240294839505,-3.69336189271524,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25551,5267,4447,115165,41875,27470,5878,23382.5,NA,8097,43970,107888.5,13147.5,27905,4473,NA,3620,NA,350,NA,3083.5,4748,1995,0,1172.5,385,60718,19377,73529,164624.5,285003,214983,524843,NA,251179,102750,16177,NA,178445.5,540477,NA,1179788,694857,387858,280564,NA,54011,NA,NA,68518,342656,57840.5,78540,122072,330298,NA,NA,54679,147889,NA,NA,64512,NA,68159,NA,NA,118389,215520
54,Tayside,Forfar,56.6413634706668,-2.91071419028815,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8923,11146,26137,NA,3225.5,11430,NA,882.5,729,1333,2526,2877.5,499,7588,52049,44831,23996.5,27566,34692,83035.5,190381,98126.5,26204,31453,7348.5,29257.5,84464,117845,124593,319396,237266,54596,NA,NA,50095,NA,216765,168587,40041.5,93772.5,200282,290306,93793,NA,68822,66148,96149,NA,264925.5,157988,NA,88431,163530,109936,NA
55,Tayside,Forfar - Central,56.6413634706668,-2.91071419028815,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4185.33333333333,0,277.5,1032.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Grampian,Forres,57.6157055009232,-3.61105534336082,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1159,NA,0,0,614.5,1976.5,16531.5,NA,7889.5,3927,31014.5,3036,195888,184422,92130,NA,NA,NA,73207.6666666667,23609,18904,59636,NA,34801,NA,15415,NA,NA,75941,53158,169763.5,249840.5,NA,NA,NA,254353.5,234000,NA,159569,40395,243175.5,NA,NA,NA,196414,100426.5,NA,NA,NA,91474
57,Highland,Fort William,56.828460689844,-5.10112693719903,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626,0,0,689,NA,560,0,NA,58658,NA,132153,NA,16112,NA,164110,1503,NA,0,NA,NA,2130,1847,NA,NA,NA,336,416885,1018,0,954,5581,0,NA,13117.5,919.5,1366,1615.5,0,0,0,0,0,417.5,192.5,501,0,12859.5,NA,39183,28924,10048,39788,26082,60334,NA,94007,65124,94539,114785.5,95832.5,NA,195740.5,130366,NA,759466.5,123028,69569,93619,98675,28627,95650.5,30069,55631,64953.5,53156,58028,27536.5,18660,NA,36460.5,NA,70678,NA,33032,123400,39776.5,38966.5,39469,NA,NA
58,Grampian,Fraserburgh,57.6916456338435,-2.04626863190726,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47938,34937.6666666667,19307,47533,50718.5,62736.6666666667,55071.3333333333,19894.3333333333,12250.3333333333,17370,0,1091,1534,22071,2970.66666666667,0,247,0,182,446,0,221,4200.5,18155.5,41077,174681,165407,302608,185845,271528,NA,NA,80651,118549,646405,389664,350798.5,235433,256698,163805,NA,80130,144476,147267.5,472972.5,289803.5,180573.5,95408,114703,NA,72929,39897.5,37287,NA,597421,NA,NA,256643,29615,NA,86263,212677.5
59,Borders,Galashiels,55.6069593265817,-2.77535918636304,10k - 100k,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,743,NA,NA,3991,3927,3431,2273,21303,23879,2621,25862,NA,1195,0,2214,NA,NA,7025,27588,1886,68542,1381,NA,801,0,926,1088,1162,3766,486,NA,NA,1221,NA,338,0,0,335,1127,NA,0,2436,8766,55898,3505,NA,24645,NA,38377,23892,22846,46982,312430,425367,NA,197061,94555,29333,66468,31000,NA,24597,39633.5,72844,216518,46153.5,40901.5,189813,505333,NA,NA,13111.5,68354,37400,274020,49020,43729,50277,57757,NA,95523,161610
60,Ayrshire and Arran,Girvan,55.2600042620361,-4.84946002859352,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2898,1382,0,2198,399,0,1250,NA,4836,3558,NA,3038,0,NA,0,0,NA,2259,3816,8416,2479,45338,NA,NA,NA,130916,111650,NA,NA,0,NA,NA,NA,367662,339667,58743,160044,NA,NA,NA,3934,49714,25241,28045,50265,38972,NA,NA,119519,60902,57930,195349,62360,NA,NA,NA,NA,43745,24454
61,Highland,Grantown on Spey,57.3224865188183,-3.61336588978372,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Fife,Guardbridge,56.3672927606303,-2.8900051823534,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2202,0,0,1974.5,887,11648,927,0,771,3233,12726,1123.5,0,NA,0,114,0,0,0,1357,1092,1554,4366.5,2540,9326,NA,NA,NA,NA,21238,66983,NA,NA,75487,170266,223510,259002,107561,325216.5,17893,NA,97005,NA,26560,81461,101166,58453,352906.5,91160,NA,NA,21302,114117.5,NA,NA,21038,81134,69346,NA,32350,92103,51265
