,Health_Board,Site,Latitude_dd,Longitude_dd,Population,2020-05-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-32,2020-08-33,2020-08-34,2020-08-35,2020-08-36,2020-09-36,2020-09-37,2020-09-38,2020-09-39,2020-09-40,2020-10-40,2020-10-41,2020-10-42,2020-10-43,2020-10-44,2020-11-45,2020-11-46,2020-11-47,2020-11-48,2020-11-49,2020-12-49,2020-12-50,2020-12-51,2020-12-52,2020-12-53,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-31,2021-08-32,2021-08-33,2021-08-34,2021-08-35,2021-09-35,2021-09-36,2021-09-37,2021-09-38,2021-09-39,2021-10-39,2021-10-40,2021-10-41,2021-10-42,2021-10-43,2021-11-44,2021-11-45,2021-11-46,2021-11-47,2021-11-48,2021-12-48,2021-12-49,2021-12-50,2021-12-51,2021-12-52,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-02-05,2022-02-06
63,Fife,Haddington,55.9605510460223,-2.75145958249074,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120176,49537,174755,1081724,NA,119630,123779.5,NA,NA,NA,83775,73477,NA,NA,NA,NA,251809
64,Lanarkshire,Hamilton,55.7940127637112,-4.05613222475841,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,954,698,NA,1870,NA,12714,17191,41927,NA,NA,285166,114042,NA,207349,84584.6666666667,45564.6666666667,38774.5,41982,51834,74247,33453,NA,60740,50476,102951,29083,41554,78899,28703,50942,58110,16405,38668.5,16626,39418.5,22191,37767,17392,20309.5,NA,49006,21037.5,23063,14182,16543.5,38031,17316,21692,39221,35312,58634,365802,183373,220849,227396,274085.5,183778,161841,307787,454507.5,1335330,724836,2474556,779925,337000,453847.5,NA,93631.5,178372.5,141905.5,241254,159089,102882,171667.5,306975,NA,125432,126243.5,298334.666666667,510565,824949,231330,126637.5,91434.6666666667,141425,260538,179453,147315
65,Lanarkshire,Harthill,55.8637263322699,-3.74707888123895,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26527,37161,436,NA,7342,143407,26544,1695,46298,25457,2096,14112,NA,NA,NA,1367,NA,1905,604,797,311,3208,NA,0,0,109664,16546,140820,NA,168586,234345,185202,1090666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12595,257455,NA,139810,262691,92778,NA,570925,NA,NA,NA,167777,971671,239482,NA,54604,NA,NA,NA,NA,NA,NA
66,Tayside,Hatton,56.5263264985016,-2.64644688655778,100k +,1752,1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10714,8360,NA,1870,1351,3366,11912,20627,NA,9348,NA,22225,41811,58928,20969,13486,NA,NA,29775,22938,NA,NA,51249,74751.3333333333,78130.3333333333,50457.3333333333,66560,58695,16027.3333333333,8218.66666666667,8743.66666666667,15140,10128.3333333333,15270.6666666667,17749,17318.5,26543,18437,10884,4470,NA,5671,7536.66666666667,8759.33333333333,12309.5,35270,28743,68302,43429.6666666667,156071.333333333,143535,289190,484636.333333333,185456,91669.3333333333,72292.6666666667,44053.3333333333,43375,116583,188996.333333333,438350,566474,343036,337814.5,176818.333333333,171588,200016,167922.666666667,170536.333333333,94015,165917.333333333,46650.5,112744,146818,184709.333333333,133121.5,125162,89774.25,180057.75,274004,368882,170324,223441.75,117564.5,137240.666666667,150832,232166,221581.333333333
67,Tayside,Hatton - Fintry East,56.5263264985016,-2.64644688655778,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,858,0,3196,916,0,1136.5,NA,2449.5,9481,341282,231782,942360,44103857,1190290,135510,36283.5,20087,26020,9682,149503,13075,NA,NA,1395889,1424406,NA,NA,NA,NA,NA,363099.5,401033,28052,78497,45196,NA,NA,NA,51338,51441,NA,NA,478716,NA,NA,42516,NA,NA,NA
68,Tayside,Hatton - Fintry North,56.5263264985016,-2.64644688655778,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15846,989,0,0,0,31354.5,NA,22880.5,35251.5,105639.5,364435,NA,544050,496778,460736.5,87141,400315,204857,98556,26576.5,322374.5,322518,NA,1631776,NA,NA,NA,NA,33878,NA,178470.5,45658,66616.5,32988,136639,38342,NA,NA,58456,43627,NA,NA,183065,42736,NA,NA,NA,128464,NA
69,Tayside,Hatton - Fintry West,56.5263264985016,-2.64644688655778,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8517.25,0,5786.5,1418.5,0,1141.5,NA,18241.5,638259,16749,119202.5,NA,502918,245469,1203845.5,129318,41649,162730,9562,1385,89672,334062,107269,NA,NA,NA,NA,NA,205112,NA,131371,80161,7347,26241,131223,NA,NA,NA,22277,1138524.5,NA,NA,NA,107744.5,NA,64166,NA,346153,325412
70,Borders,Hawick,55.4310286181503,-2.77223125610452,10k - 100k,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3893,NA,6326,5498,0,12933,11577,NA,7474,754,8703,5541,1068,11284,12892,30986,NA,10720,46942,14559,NA,51798,185436,196615,55307,63795,5439,690,6871,0,354,1296,446,1041,2124,NA,877,0,NA,NA,0,4787,2573,398,NA,NA,NA,2845,90782,36586,NA,961455,NA,55408,91694,30827,11563,28097,155165,NA,123645,28458,37390,22251,131256,NA,6454,110832.5,0,36091,72898,301695,213626,66385,NA,98648,68833,NA,563428,NA,143258,120606,74067,93351,NA,27407,149677
71,Highland,Helensburgh,55.9823163725406,-4.69345867325065,10k - 100k,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,2403,NA,0,1987.5,60947,36441,3763,91754,2374,6237,7772,NA,12884,NA,NA,NA,3872,30581,7822,36142,15342,8180,230990,85921,56401,44852,13762,24424,28812,27059,NA,49627,26832,NA,1176,3263,1966,678,3009,NA,7290,3424,0,7004,3253,NA,8427,0,40713,22123,15142,9231,3482,3923,0,NA,977285,73612,207269,209144,NA,141026,NA,42304,50074,67104.5,94414.5,84826,40481,NA,NA,106599,48959,172661,105312,133670,NA,49619,NA,77317,55980,122199.5
72,Grampian,Huntly,57.4508140601178,-2.77616404509057,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,0,836,14136.5,16611,19469,3812,10079,28940,13049.5,98062,12462.5,12060.5,292395.5,NA,253592,35337.5,NA,NA,269050,NA,234860,NA,186798,220093.5,41389,42559.5,91790,175064,6948,NA,11625.5,180475,NA,791460,28140,NA,NA,26139,NA,22097,NA
73,Greater Glasgow and Clyde,Inverclyde,55.9366219224013,-4.87853552735278,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18141,31766,97610,233525,46543,68325,21154,15852,17942,8979,13268,16407,2514.5,10574,5058,3124,4314,7188.5,3618.5,3519,7651,1860.5,14852,6540.66666666667,5142,10574,16858,12814.5,6175,36714.5,57719,129859,100606.333333333,58184.5,48628,82074,NA,27378,92972.5,106049,200950,253459,384751,179222.5,77358,142612,NA,28963.6666666667,61090.5,43118.5,53780.5,62141.25,34723,75780.25,68238,145200,66608,68415.5,130700.333333333,NA,313095,112022,94129.5,44154.3333333333,45206.3333333333,46378,58291,45366.5
74,Greater Glasgow and Clyde,Inverclyde - Gourock,55.9366219224013,-4.87853552735278,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35099.5,96874,372138,47136.5,11408.5,351277,NA,NA,NA,144433,488456,67622.5,120899,306343,278205,160473,76945,28520.5,76820.5,189061,44428,122370,255345.5,130221,195962,117133,154482,NA,NA,NA,29421,NA,21055,11732.5,42449,78428,20993.5,87763.5,NA,NA,38504,25111.5,NA,NA,199240,56903,NA,NA,NA,NA,NA
75,Grampian,Inverurie,57.2730583187437,-2.36445060793797,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9178.5,NA,211,8360.5,32087.5,4441,5480,NA,10530,1043,11302.5,11722,28795,NA,290641,NA,109973,78960.5,NA,32306,NA,NA,NA,570794,792806.5,218584,NA,NA,NA,448251,NA,415775,442545,108778,86812.5,252431,315814,169833,NA,33250,145362,NA,NA,239685,184399,53745,107369,NA,NA,NA
76,Fife,Ironmill Bay,56.0422698314311,-3.509410874862,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8982,6896,1189,NA,5984.5,20971,22674,12949.5,9407.5,61046.5,NA,2600,4474,NA,1472,480.5,29643,737,7046,NA,28050,4003.5,32813.5,48870.5,80219,474128,11781.5,58452.5,73775,89532,8307,NA,NA,NA,NA,77367,147980.5,43107,NA,NA,42402,NA,NA,15668,68085.5,101454.5,112608.5,100727.5,65073,71447,NA,98402.5,63250.5,NA,NA,134441.5,NA,NA,NA,NA,95011,37794
77,Fife,Jedburgh,55.4952652800768,-2.54303476730876,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269497,89040,26223,12217.5,NA,NA,43959.5,NA,NA,NA,21003,154147.5,11109,22216,NA,27377.5,NA
78,Borders,Kelso,55.604842083054,-2.42064379913774,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.5,0,0,0,157,NA,0,552.5,2488.5,2295.5,0,NA,0,1469.5,143,12497,15495,73750,25773,NA,11992,17405,NA,NA,0,NA,15351,80130,101466.5,44665,31629,5573,NA,4901,NA,8226.5,64736.5,41057.5,15796.5,132141,40533.5,NA,NA,40836,220036,NA,NA,60569,107315,79364,71134,NA,50414,93943
79,Fife,Kincardine,56.064780706967,-3.71964396957788,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16876,318594,231346,63553,36793.5,11937,27167,148242.5,4408.5,2345,NA,11908,16779.5,NA,454,594,0,921.5,6484.5,NA,17129,NA,NA,NA,5822,6293,41041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Forth Valley,Kinneil,56.0116423848277,-3.66794034934915,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157443,168514.333333333,255166.666666667,274271.5,NA,NA,119223,402984.666666667,NA,NA,56923,NA,248525,153534,148327,215437,64082
81,Fife,Kirkcaldy,56.1170716358498,-3.14788609805312,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46997,12091,16041,31453,53203.5,18226,9037,55854.5,33246,NA,55115.5,26624,15209,NA,11527.5,25199,30309,23599,12932,NA,48594,68596,76697,171459.5,228325,258867,287425,155592,204382.5,161368,70003,157089,NA,NA,211211,701213,1170966,311418.5,264382,317908,90879,226509,255697,100228,141464,121465.333333333,240263.666666667,335447,250881.5,NA,NA,183763,285955.333333333,291605,NA,286789.5,231797.333333333,254860.666666667,147506,NA,151105,156437.5
82,Orkney,Kirkwall,59.0075645912078,-2.91522968615766,4k - 10k,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6066,36871,4418,NA,0,0,0,517,0,NA,NA,0,0,986,0,0,0,0,0,0,230.666666666667,0,NA,NA,670.333333333333,847,1558.33333333333,1785,0,0,126.666666666667,1160,252.666666666667,0,0,0,237.333333333333,NA,0,322.666666666667,0,0,0,350,0,158.5,0,0,3218.5,2858.5,19553,13224,4933,11517.5,58392,11457,18027,19067,5910,66937.5,20943,NA,22317,73920,NA,20056.5,16365,NA,17800,12850,19860,18938,17320.5,38246.5,116950.5,39331.5,NA,15416,8040,4584,NA,NA,96945.5,17891.5,14609,NA,34888,50838,81113
83,Lanarkshire,Lanark,55.673531082359,-3.7947853256949,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63779,55489,16013,NA,18103,74165,38818,184799,64385,58277,3126,5706,NA,10910,22343,NA,NA,651,0,NA,1195,2822,NA,40004,6425,41809,51084,27687,NA,11460,42849,23777,108909,NA,NA,136108,NA,234979,NA,791669,NA,NA,NA,NA,17298,NA,NA,NA,19334,48636,68979,NA,NA,NA,NA,NA,NA,167773,51584,242907,103239,NA,38984,NA,67423
84,Dumfries and Galloway,Langholm,55.1459447087774,-2.99377025961401,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,3155.5,125287,225862,28147,38535,NA,114540,32147,17213.5,NA,25454,NA,NA,1636393,464692,412849,NA,NA,4846,NA,36057.5,27518,36766.5,13730,4862.5,38117.5,NA,NA,5571,9890,NA,NA,44742,NA,131332,27000,NA,52783,97396
85,Ayrshire and Arran,Largs,55.8208147555392,-4.88382394218081,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18892,25638.5,6036,34466.5,23750.5,992,NA,1809,NA,28759.5,22213,NA,1831,1112,906,0,0,NA,346,0,11646.5,20690,33814.5,NA,8355,16822,15526.5,18216,NA,NA,NA,NA,NA,36489,102751.5,114929.5,80725,NA,NA,13855,NA,12640,27908,14052,46799,19402,47783.5,67718,72619,39608,55971,NA,NA,80784,66583,NA,NA,NA,0,NA
86,Shetland,Lerwick,60.1845545241091,-1.15675365103016,4k - 10k,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,5219,NA,28534,0,0,486,0,NA,0,0,0,NA,NA,642,10257,3582,3303,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,3348.5,0,NA,4110,201,543,3481.5,NA,4534,NA,4385,7880,20202,15315,3205.5,2833,0,3066,2894,NA,13461.5,41917,10482,7365,NA,0,2476,1180.5,0,NA,1240,15342,86054,NA,NA,NA,8393.5,NA,6697,NA,NA,NA,NA,NA,NA,45248.5
87,Lanarkshire,Lesmahagow,55.6461237515284,-3.88335293885114,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23560,NA,NA,60888,24175,501371,622995,50697,19713.5,3485,NA,2351,0,0,NA,NA,5829,480,1315,0,1958,NA,0,0,6998,0,6813,NA,85544,197298,47302,51969,NA,NA,19242,NA,508016,NA,127113,154126,NA,NA,NA,5670,NA,NA,NA,104721,43179,188771,NA,126510,NA,0,76005,NA,187619,144060,NA,NA,NA,NA,NA,19637
88,Fife,Levenmouth,56.1924949082976,-3.01013038636152,100k +,0,0,0,0,NA,0,NA,NA,NA,NA,NA,0,0,376.25,1616.5,0,0,759.333333333333,1364,6446.2,18481,3977,2281.33333333333,41971.6666666667,42732.25,49358.5,33245,22886.5,36313.3333333333,57886.5,115157,51927.6666666667,18589.25,20919.3333333333,NA,99853,56674.75,57069.6666666667,15422,55695,30549,16305,8027,14925.5,11451,11435.5,15594.5,21646,NA,14915,18621.5,5711,NA,4916,5571,3245.5,9344.5,2085.5,NA,10352.5,8199.5,10691,27306.5,80114,229368,108549,102123,137794.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103552.333333333,NA,NA,56390.25,109219.5,172907.75,121582,NA,50840,124136.666666667,230410.666666667,364916,NA,139285,171839.666666667,89468.5,39867,98510,18276,156453
89,Lothian,Linlithgow,55.9829403066899,-3.62531876842913,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12650,13809,NA,64024,27134,21614,7741.5,5576.5,8655.5,2708,1309.5,649,7720.5,3860.5,4182,16042,NA,1737.5,2263,NA,434.5,265.5,1702.5,22833,739,429,2101,28703,6520,22937.5,35775,80632,128414,288059,94085,60145.5,NA,81914,37191,NA,182539,139321,412222,434850.5,323506,NA,238065,168375,NA,235984,36859.5,196731,NA,118290.5,233114.5,387211,NA,244575.5,161438.5,715235,NA,143493,74105,46876,NA,NA,89473,221769
90,Dumfries and Galloway,Loch Ryan,54.9221422494004,-5.07869120356409,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730,NA,NA,NA,NA,NA,0,551.5,781,2503,NA,NA,38468,4753,24446,24511,13265,15310,18224,76294.5,130772,306961,138410.5,78660,25195,NA,NA,31416,NA,NA,12837,8999,NA,11338,91934.5,NA,NA,2576,15001.5,NA,NA,NA,23045.5,39678,30605,NA,13984.5,9164
91,Dumfries and Galloway,Lockerbie,55.1196143867988,-3.37237494154506,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,4604.5,151.25,253.75,543,871,0,5219.75,3249,3595,2979,109707.5,1836.5,20368.5,NA,222.5,1350,2173,NA,NA,17850.5,7468,3127.5,17992.5,1047.5,1521.5,0,0,0,1094.5,514,0,0,NA,0,189.5,NA,0,0,0,0,0,NA,0,532,339,0,NA,35228,98097.5,6773,34714,NA,69836.5,55010,190775.5,237934.5,NA,203033.5,494480,276876,84111,100939,NA,2012.5,71892.6666666667,27591.5,113863,3927,49254.5,116706.5,43542,NA,NA,12476.5,58903,267439,NA,NA,85886,45967,115649,NA,43662.5,26633.5
92,Grampian,Lossiemouth,57.7016943068663,-3.25833865562436,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9993.5,4128,15532,4947,2801,1284,6798,12132.5,4776,9939,11192.3333333333,10252.3333333333,9319.66666666667,20325,10913.3333333333,6479.66666666667,3344,0,2515.5,0,2280.66666666667,3880.5,6192,NA,65948.6666666667,70381.5,69689,90025,51696,37243.3333333333,83684.6666666667,79799.6666666667,256676,316039.5,135212,197271,69181,NA,NA,108357,122253.5,NA,NA,40378,NA,NA,NA,NA,NA,NA,NA,NA,NA,154436,NA,26509,NA,NA,71411,151905
93,Lanarkshire,Mauldslie,55.7304125178971,-3.89835942271324,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57581,118803,102175,12821,108092,16401,72378,17976,35917,14402,7695,20132,NA,16854,18240,NA,NA,8033,4809,13612,14924,8646,NA,2155,10347,96411,48573,20158,NA,90578,NA,188219,122225,NA,NA,NA,324400,940753,NA,NA,NA,NA,NA,NA,86799,NA,133213,NA,88347,200547,97619,NA,NA,NA,NA,75454,912198,NA,33218,NA,NA,NA,NA,NA,NA
