,Health_Board,Site,Latitude_dd,Longitude_dd,Population,2020-05-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-32,2020-08-33,2020-08-34,2020-08-35,2020-08-36,2020-09-36,2020-09-37,2020-09-38,2020-09-39,2020-09-40,2020-10-40,2020-10-41,2020-10-42,2020-10-43,2020-10-44,2020-11-45,2020-11-46,2020-11-47,2020-11-48,2020-11-49,2020-12-49,2020-12-50,2020-12-51,2020-12-52,2020-12-53,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-31,2021-08-32,2021-08-33,2021-08-34,2021-08-35,2021-09-35,2021-09-36,2021-09-37,2021-09-38,2021-09-39,2021-10-39,2021-10-40,2021-10-41,2021-10-42,2021-10-43,2021-11-44,2021-11-45,2021-11-46,2021-11-47,2021-11-48,2021-12-48,2021-12-49,2021-12-50,2021-12-51,2021-12-52,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-02-05,2022-02-06
127,Lothian,Seafield - Craigmillar,55.9712021918324,-3.14543306383502,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27701,248429,29108,62235,NA,NA,41904,70171.5,NA,NA,150989.5,NA,104701,NA,NA,NA,NA
128,Lothian,Seafield - Muirhouse,55.9712021918324,-3.14543306383502,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5443,265478,182575,473818,NA,NA,81047,52657,NA,NA,300188,70162,NA,NA,NA,NA,104078
129,Lothian,Seafield - Restalrig,55.9712021918324,-3.14543306383502,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209135,188034,100241,188498,NA,NA,NA,458335,NA,NA,243617,83183,274750,NA,NA,NA,1448156
130,Lothian,Seafield - Tranent,55.9712021918324,-3.14543306383502,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1111,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,Lothian,Seafield - Western General,55.9712021918324,-3.14543306383502,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Borders,Selkirk,55.5588232441839,-2.83473194586627,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1767,0,1172.5,0,NA,0,0,2568,452,0,NA,0,NA,NA,NA,26994,70591,15905,NA,20722,0,NA,NA,NA,NA,59180,89895,123687,13500,NA,38785,NA,12065,NA,95269.5,56824.5,5693,97776.5,64969,68583,NA,NA,8305,NA,NA,NA,60977,NA,NA,NA,NA,39468.5,NA
133,Greater Glasgow and Clyde,Shieldhall,55.8637148184202,-4.34491168360078,100k +,1462,845.5,1162,538,237.8,0,0,0,207,0,NA,0,1463.25,1547.25,1745.25,6013,9095,12183.25,10151.75,31926,46897.3333333333,57776,19613,54728.6666666667,70466.75,47161.25,23210.5,70790,18249.75,21237.6666666667,67494,56144,48916.4,16515.3333333333,30184,89685,121552.75,92058,53587.6666666667,53915.3333333333,84951,44380.6666666667,40931.3333333333,29926.3333333333,57308.3333333333,27772.5,36695.25,30688,8268,20378.5,18428.75,16119,NA,19573,12155,44601.5,78424.5,50553.5,88512,74302,NA,27952,72382.5,130375,148356,110446,152704,106523.5,91846.5,73017,82182.5,316145.5,340234,404384,658446,500617.5,283209,288141.5,141559,NA,81291,124687.333333333,100758.5,51034,72123.5,85502.5,97104.75,122435.666666667,170482,113596,64978.25,136395.5,379046,620629,48666.6666666667,77277.5,96144.75,92032.5,NA,74219.5,48995
134,Greater Glasgow and Clyde,Shieldhall - Barrhead,55.8637148184202,-4.34491168360078,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3494,17590.5,3323,7614,NA,NA,17027,6014.5,4310,32991,NA,22543.5,29829,2735,136352.5,127431,336462,45383,219429,239743,65296,47439,519126,121498.5,420980.5,306759,713180,227920,564946,85436,151368,NA,NA,NA,NA,143518,209947,982444,163093,332755.5,NA,NA,246063,355247,NA,NA,147461,126901,NA,NA,NA,NA,NA
135,Greater Glasgow and Clyde,Shieldhall - Gorbals,55.8637148184202,-4.34491168360078,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7161.33333333333,2291.5,13550.5,22393.5,NA,NA,7229,62787.5,195909,151453.5,NA,18303,103029.5,15978,78032.5,73467,297804,144230,81175,66791,31982.5,45923.5,31256,89048.5,301957.5,59565,74444,117740,144149,102466,88457,NA,NA,NA,19733,15533.5,94976.5,57156,560835,32358,NA,NA,17048,87993,NA,NA,45915,146546,NA,NA,NA,NA,NA
136,Greater Glasgow and Clyde,Shieldhall - Govanhill,55.8637148184202,-4.34491168360078,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56031.6666666667,33949.5,99494,32677.5,NA,NA,206768,1080061,1468930.5,177504.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,Greater Glasgow and Clyde,Shieldhall - IMAX,55.8637148184202,-4.34491168360078,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1356.5,20124.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Greater Glasgow and Clyde,Shieldhall - Pollockshields West,55.8637148184202,-4.34491168360078,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248052.4,38181,100255.5,258431,62360,31229,10730,60707,22145.5,7404.5,NA,37600.5,851488.5,47213,2174801,165526,244475,83750,38599,NA,39411,NA,NA,4051.5,175950,139052.5,117817,105233.5,NA,NA,18194,30017.5,NA,NA,24480.5,NA,21460,108578,NA,33537,51670.5
139,Greater Glasgow and Clyde,Shieldhall - Science Centre,55.8637148184202,-4.34491168360078,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4156,0,37686.8,2781.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Lanarkshire,Shotts,55.8148629730862,-3.81122405591491,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62115,71297,7086,NA,70955,94781,62161,46156,17567,51129,28489,48062,NA,5493,9949,22946,NA,12753,25921,51933,6929,2002,NA,0,30217,12032,17693,NA,98613,296213,NA,305886,283855,NA,NA,191062,NA,160885,NA,NA,567675,NA,NA,NA,NA,NA,NA,82867,34417,NA,137049,NA,182448,NA,77617,291463,NA,NA,NA,83818,NA,NA,NA,162128,258635
141,Lanarkshire,Skellyton,55.7451404115579,-3.95936920791938,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152127,NA,396220,174325,NA,44522,5816,195654,6772,7773,NA,NA,2221,6071,NA,NA,57653,2776,4033,NA,29114,NA,24463,34342,39901,163450,NA,220162,NA,NA,1006023,372332,NA,NA,NA,518244,906709,NA,NA,227120,NA,149447,NA,138771,NA,335446,NA,114596,198797,110356,NA,NA,NA,138156,509829,NA,NA,120166,NA,NA,NA,NA,NA,3495
142,Fife,Springfield,56.2926726539988,-3.05408233288403,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8790,1227,2854.5,230.5,1755.5,1528.5,3231,21346,8266,5588,42516,14529.5,1810,NA,374,3166,217,285.5,0,854,NA,2749.5,11342.5,16915.5,5300,NA,NA,76328,68345,503563,NA,NA,70517,NA,436800,585907,1223607,228867,52502,163970,NA,48847,NA,34405,189298.5,54897.5,57629,66848,81900,NA,NA,76783,723177.5,NA,NA,119363,58834,51982,30488,NA,63841,128596.5
143,Fife,St Andrews,56.3295995077312,-2.75704928705797,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19254,2285.5,0,0,26913,3501.5,1747,20207,20706,48007,35392,32022.5,3576,NA,4973,1376.5,3238,16690,3781.5,31017,14080,19768,18153,63126,NA,NA,116010,151441.5,83431,81720.5,56843,NA,NA,NA,148749,143927,461618.5,127761,196542,197549.5,NA,144603.5,139994,147331,414770,71946,107982,465735.5,595227,NA,NA,41433,103447,NA,79869,77373,NA,NA,NA,NA,97213,NA
144,Fife,St Andrews - University (2979),56.3295995077312,-2.75704928705797,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5263.25,0,1200,209640,40901.5,0,20887,21423.5,0,9339,18475,NA,413291.5,4970.5,NA,696,14567,9393,1720.5,8064,NA,NA,48.5,22831.5,NA,NA,NA,8487,NA,NA,NA,NA,NA
145,Fife,St Andrews - University (4964),56.3295995077312,-2.75704928705797,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569,0,NA,2969,7835,23478,14784,17199.5,139976.5,41949.5,53587,NA,55671,18494.5,NA,22979.5,22713.5,13087.5,130374,108717,NA,NA,9183,72420,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,Ayrshire and Arran,Stevenston,55.6256319344673,-4.73979157201639,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18621.5,40319,26262.5,13821,4701.5,6814.5,13435.5,10633,10121,6761.5,1578,3868,2711,3620.5,4775.5,19600,6577.5,NA,16957,19006.5,18057,36668.5,50685,NA,42188.5,56480.5,23932,42089,36819.5,47717,214805,153449.5,64980,167332,93265,83959.5,73050,21949,7675,34514,25617,16273,30647.5,30285.5,15397.5,29637,130221,50335,42683,65813,52467.5,135197,NA,80614,45474.6666666667,34080.3333333333,28133.6666666667,60118,35481.5,7333.5
147,Ayrshire and Arran,Stevenston - Stevenston East,55.6256319344673,-4.73979157201639,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2929,0,690.5,997.5,1406,381836,25151,0,9009.5,4749.5,195847,282681,248139,364173,58231,9151,41079.5,3946,1686.5,151433,180893,94453,NA,11742,NA,NA,NA,22889,NA,NA,NA,29331.5,64724,113219,4030.5,40490,20028,NA,30186,156040,NA,NA,490004,17739,NA,NA,NA,NA,NA
148,Ayrshire and Arran,Stevenston - Stevenston West,55.6256319344673,-4.73979157201639,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5088,4395,28999,15714.5,121404.5,7962,0,3282,2195,2901,8434.5,NA,58539,12513.5,3380,16528,653670,4978,168903,158489,785548,NA,NA,358006,NA,60197,NA,28181,NA,NA,129670,62009,10842,40218.5,24679.5,78236,NA,NA,5236,140078.5,NA,NA,20901,413963,NA,NA,NA,30307,NA
149,Forth Valley,Stirling,56.1192863807364,-3.91954797054321,10k - 100k,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,439,NA,0,0,0,4752,NA,10892,0,NA,4552,73967,480,4030,NA,15486,NA,8618,2468,2127,NA,NA,18502,34342,7932,4115,82628,10545,7105,NA,8006,31668,3697,17555,5204,NA,16410,4510,NA,1389,2495,6292,917,1557,6532,NA,1855,7662,1360,26965,NA,74582,NA,32205,34166,38555,18827,NA,106778,NA,18168,82751,77862,31166,20131,NA,33062,40239,11502,20490,14275.6666666667,49708.6666666667,72203.3333333333,59978.5,NA,56657,39666.6666666667,187627.5,234023,267164,23503.3333333333,85038,61090.3333333333,36520.5,36390,26023.5,47932.5
150,Forth Valley,Stirling - University,56.1192863807364,-3.91954797054321,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.5,NA,1068.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4182.5,8189,NA,21562,345348,NA,134485,NA,NA,10153,3479,8481,17473.5,465109,64467,NA,22638,NA,NA,189,63,NA,NA,325708,56150.5,NA,16499,NA,NA,NA
151,Lanarkshire,Stonehouse,55.7016309363525,-3.96889526779904,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28746,5789,17984,NA,4513,4386,23359,11655,3653,433,12162,1215,NA,3529,2399,NA,NA,45331,1146,524,12707,0,NA,15034,36704,6989,28740,11068,NA,81885,NA,22767,39818,NA,NA,NA,NA,421327,NA,423858,143355,NA,NA,NA,63515,NA,23535,NA,88902,85800,22474,NA,NA,NA,81022,115769,NA,411285,48325,NA,NA,NA,NA,NA,5519
152,Western Isles,Stornoway,58.1914654524505,-6.34939015751881,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,945,NA,0,1592,24618,NA,13291,NA,1071,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,0,1487,2089,0,NA,8440,NA,29391,16058,25981,NA,NA,84717,12876,NA,9563,0,19842,98191,NA,NA,NA,13445,NA,NA,NA,NA,NA,4274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14846
153,Lanarkshire,Strathaven,55.6750794860395,-4.05862601936173,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24462,25363,22228,7078,5736,1873,2034,77464,38833,3872,5878,16250,NA,10590,10350,NA,NA,21200,21929,6902,1138,2443,NA,0,NA,NA,NA,NA,NA,18567,NA,79861,37833,24407,NA,NA,NA,408898,NA,NA,NA,27755,NA,90026,52057,NA,NA,NA,43854,92399,26811,NA,NA,12868,NA,19176,NA,NA,86744,NA,NA,NA,41541,NA,101702
154,Lanarkshire,Swinstie,55.7970397639352,-3.9057350372813,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62809,66856,NA,10794,24775,NA,32812,7581,16555,27088,27010,132188,NA,62820,21166,20787,NA,11920,NA,3368,NA,NA,NA,1140,38263,4964,NA,33704,NA,310843,NA,188434,185965,NA,NA,NA,NA,1359412,NA,NA,300737,NA,NA,NA,33621,NA,17393,NA,33065,97425,47175,NA,NA,NA,NA,32664,NA,NA,NA,NA,NA,57906,NA,NA,NA
155,Highland,Thurso,58.6048773791166,-3.49659793241723,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25962.5,44213.5,103585,NA,15948,9375.5,NA,NA,23435,NA,NA,NA,42445,36199,10294
156,Forth Valley,Tillicoultry,56.1489709119989,-3.74542311705907,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220834.5,25483.5,22291.5,2854.5,4486,4815,28695,NA,7370,1375.5,NA,459.5,1851,2922,1352,2671.5,2125,7201,94127,9012,75248,12294,NA,36031,364863,388708.5,164620,NA,NA,NA,NA,NA,415509.5,1192779.5,178888.5,25253,153416,NA,114049,NA,135760.5,1230770.5,335003.5,535103,372857,178029,NA,NA,81720.5,52195,NA,NA,39813,NA,NA,NA,NA,275251.5,NA
157,Dumfries and Galloway,Troqueer,55.0547304189749,-3.61168143926794,10k - 100k,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,626,0,12869,21340,NA,6783,20122,NA,1478.5,21239,6641,12588,16982,NA,3041,5246,1667,NA,NA,27997,207888,34365,10945,NA,25175,NA,2558,4227,3787,3728.5,2338,2498.5,NA,0,0,NA,0,0,205,350,0,NA,1473,1984,15892.3333333333,22360,NA,63443,50123,25732,41926,NA,29430,61631,350389,148130.5,NA,231792,393696,298422.5,64625.5,204591,NA,132766.5,104609,159158,189652.5,214676,120548,106437.5,160769.5,118241,NA,47859,256381,NA,NA,135258,163879.5,67531,127405,NA,124249,72044
158,Grampian,Turriff,57.541917454448,-2.47646593060706,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,1627,3743,NA,1179,0,1447.5,4563.5,13049,28462,28677,12378,0,1579.5,NA,NA,36166,24464,NA,881486,587036,NA,NA,42651,NA,158347,NA,0,253962,63710,128643.5,58607,81357,NA,NA,5180,NA,NA,NA,21411,29275,NA,NA,NA,NA,NA
159,Greater Glasgow and Clyde,Uplawmoor,55.7644938517079,-4.50196487477196,0 - 2k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1524,267.5,700,0,0,NA,0,213.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Lothian,Whitburn,55.8707039858612,-3.68176348307214,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53694,5550,6187,60622,64903,142094,168999,38975,487578,110144,50931,83808.5,70167.5,5342.5,7046,5612.5,NA,9854.5,555,NA,1650,4997.5,3856,2901,483,3099,28160,22068.5,35746,105672.5,75519,NA,97979.5,475173,187304.5,79766,NA,NA,NA,NA,499724,458032,1600795,415671,33467,67333,NA,98047,177806.5,73102,131599.5,111454.5,114885,90860,118381.5,76436,NA,89219.3333333333,154571,171151,462798,59441,NA,33318,NA,NA,136592,83581.5
161,Highland,Wick,58.4425401244221,-3.06013285655809,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118434,36800.5,6016,NA,17106,53227.5,NA,NA,NA,NA,NA,NA,93838,67646,24160
162,Lothian,Winchburgh,55.9551843618815,-3.45552278262022,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6595,NA,NA,25703,19745,615,1324,3835.5,16477,16512,49506,4963,35004.5,31689,18354.5,1567,0,250,0,NA,0,6268.5,184,282,24420.5,0,9150,15531.5,10431.5,64144.5,54331,78219,83126.5,266669,285443.5,110262.5,NA,NA,NA,135415,4764,0,2340,405348,295446,NA,216856,NA,93579,41469.5,260332.5,120137.5,128599.5,139511.5,36005,13074,NA,123804,334331,603496,NA,208895,150892,308109,NA,NA,307893,NA
